Strategy,Final Value,Return %,Max Drawdown %,Final Cash
A: 100% Buy & Hold,40572.19556145659,305.7219556145659,-20.575696571471635,0.0
B: 70% Initial + DRAM/MU Pullback Add,31400.53689301961,214.00536893019608,-17.874108419239555,3000.0000000000005
