date,ticker,signal,confidence,price,horizon_days,future_date,future_price,return_pct,result,trend_alignment,score
2026-05-27,NVDA,BULLISH,0.290254457218488,214.8600006103516,3,2026-06-01,224.3600006103516,0.0442148374430483,WIN,1.0,0.5371
2026-05-27,MU,BEARISH,0.3974522364355958,895.8800048828125,3,2026-06-01,1035.5,0.1558467588920581,LOSS,0.0,0.1192
2026-05-27,INTC,NEUTRAL,0.5,123.5199966430664,3,2026-06-01,109.33000183105467,-0.1148801424680758,LOSS,0.5,0.25
2026-05-27,SNDK,BEARISH,0.3804046432935426,1589.550048828125,3,2026-06-01,1761.4300537109375,0.1081312318599397,LOSS,0.0,0.1141
2026-06-02,NVDA,BULLISH,0.2209002108524463,225.2100067138672,3,2026-06-05,205.10000610351562,-0.08929443635202955,LOSS,1.0,0.5163
2026-06-02,MU,BEARISH,0.5055148568303681,1040.7249755859375,3,,,,PENDING,0.0,0.1517
2026-06-02,INTC,BEARISH,0.1574362504661102,108.58999633789062,3,,,,PENDING,1.0,0.2472
2026-06-02,TSM,BEARISH,0.2289980284354112,447.1440124511719,3,,,,PENDING,0.0,0.3187
2026-06-03,NVDA,BULLISH,0.2209002108524463,222.82000732421875,3,,,,PENDING,1.0,0.5163
2026-06-03,MU,BEARISH,0.5055148568303681,1064.0999755859375,3,,,,PENDING,0.0,0.1517
2026-06-03,SNDK,BEARISH,0.390290837979529,1716.3599853515625,3,,,,PENDING,0.0,0.1171
2026-06-06,NVDA,BULLISH,0.200821235733454,205.1000061035156,3,,,,PENDING,0.0,0.3102
