Ticker,Date,Action,Price,Amount,Shares,Cash After,Note
DRAM,2026-04-02,Initial Core Buy,27.760000228881836,7000.0,252.16138120622622,3000.0,初始核心仓位
MU,2026-04-01,Initial Core Buy,367.8500061035156,7000.0,19.029495402618398,3000.0,初始核心仓位
MUU,2026-04-01,Initial Core Buy,141.77000427246094,7000.0,49.375747965324436,3000.0,初始核心仓位
NVDA,2026-04-01,Initial Core Buy,175.75,7000.0,39.82930298719772,3000.0,初始核心仓位
